id,sitename,filename,lat,lon,elevation,country,gcmd_location,author,pub_year,title,journal
259,MD01-2444,MD01-2444.Martrat.2007.lpd,37.565,-10.134,-2656,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Martrat, B.; Grimalt, J. O.; Shackleton, N. J.; de Abreu, L.; Hutterli, M. A.; Stocker, T. F.",2007,Four climate cycles of recurring deep and surface water destabilizations on the Iberian margin,Science
260,MD01-2446,MD01-2446.Salguero.2014.lpd,39.0558,-12.624,-3570,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Salgueiro, E.; Naughton, F.; Voelker, A.H.L.; de Abreu, L.; Alberto, A.; Rossignol, L.; Duprat, J.; Magalḥes, V.H.; Vaqueiro, S.; Turon, J.-L.; Abrantes, F.",2014,Past circulation along the western Iberian margin: A time slice vision from the Last Glacial to the Holocene,Quaternary Science Reviews
261,MD03_2607,MD03_2607-Assemblage.LopesdosSantos.2013.lpd,-36.9607,137.4065,-865,Indian; Great Australian Bight,Indian; Great Australian Bight,"Lopes dos Santos, Raquel A.; Spooner, Michelle I.; Barrows, Timothy T.; De Deckker, Patrick; Sinninghe Damst̩, Jaap S.; Schouten, Stefan",2013,"Comparison of organic (U K' 37, TEX H 86, LDI) and faunal proxies (foraminiferal assemblages) for reconstruction of late Quaternary sea surface temperature variability from offshore southeastern Australia",Paleoceanography
262,MD03-2601,MD03-2601.Kim.2012.lpd,-66.0512,138.5572,-746,Southern Ocean,Southern Ocean,"Kim, Jung-Hyun; Crosta, Xavier; Willmott, Veronica; Renssen, Hans; Bonnin, J̩r̫me; Helmke, Peer; Schouten, Stefan; Sinninghe Damst̩, Jaap S.",2012,Holocene subsurface temperature variability in the eastern Antarctic continental margin: ANTARCTIC HOLOCENE TEMPERATURE,Geophysical Research Letters
263,DurvilleTrough,MD032601.Crosta.2007.lpd,-66,138.6,-746,Southern Ocean,Southern Ocean,"Crosta, X.; Debret, M.; Denis, D.; Courty, M. A.; Ther, O.",2007,"Holocene long- and short-term climate changes off Ad̩lie Land, East Antarctica","Geochemistry, Geophysics, Geosystems"
264,MD07-3088,MD07-3088.Montade.2019.lpd,-46.0667,-75.6833,-1536,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Montade, Vincent; Peyron, Odile; Favier, Charly; Francois, Jean Pierre; Haberle, Simon G.",2019,A pollen-climate calibration from western Patagonia for palaeoclimatic reconstructions,Journal of Quaternary Science
265,MD07-3104,MD07-3104.Montade.2019.lpd,-41.7111,-72.7781,-326,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Montade, Vincent; Peyron, Odile; Favier, Charly; Francois, Jean Pierre; Haberle, Simon G.",2019,A pollen-climate calibration from western Patagonia for palaeoclimatic reconstructions,Journal of Quaternary Science
266,MD07-3124,MD07-3124.Caniupan.2014.lpd,-50.52,-74.97,-564,Pacific Ocean>South Pacific Ocean,Pacific Ocean>South Pacific Ocean,"Caniup  n, Magaly; Lamy, Frank; Lange, Carina B.; Kaiser, J̩r̫me; Kilian, Rolf; Arz, Helge W.; Le _n, Tania; Mollenhauer, Gesine; Sandoval, Susana; De Pol-Holz, Ricardo; Pantoja, Silvio; Wellner, Julia; Tiedemann, Ralf",2014,Holocene sea-surface temperature variability in the Chilean fjord region,Quaternary Research
267,MD79-257,MD79-257.Levi.2007.lpd,-20.4,36.3,-1262,Indian Ocean,Indian Ocean,"Levi, Camille; Labeyrie, Laurent; Bassinot, Franck; Guichard, Fran̤ois; Cortijo, Elsa; Waelbroeck, Claire; Caillon, Nicolas; Duprat, Josette; de Garidel-Thoron, Thibault; Elderfield, Harry",2007,Low-latitude hydrological cycle and rapid climate changes during the last deglaciation,"Geochemistry, Geophysics, Geosystems"
268,MD84_527,MD84_527.Sarnthein.1988.lpd,-43.8217,51.3183,-3262,Indian; Indian Ocean,Indian; Indian Ocean,"Sarnthein, Michael; Winn, Kyaw; Duplessy, Jean-Claude; Fontugne, Michael R.",1988,"Global variations of surface ocean productivity in low and mid latitudes: Influence on CO <sub>2</sub>$$ reservoirs of the deep ocean and atmosphere during the last 21,000 years",Paleoceanography
269,MD95_2002,MD95_2002.Eynaud.2012.lpd,47.452,-8.5338,-2174,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Eynaud, Fr̩d̩rique; Malaiz̩, Bruno; Zaragosi, S̩bastien; de Vernal, Anne; Scourse, James; Pujol, Claude; Cortijo, Elsa; Grousset, Francis E.; Penaud, Aur̩lie; Toucanne, Samuel; Turon, Jean-Louis; Auffret, G̩rard",2012,New constraints on European glacial freshwater releases to the North Atlantic Ocean,Geophysical Research Letters
270,MD95_2011,MD95_2011Assemblage.Risebrobakken.2003.lpd,66.9697,7.6393,-1048,Atlantic; Norwegian Sea,Atlantic; Norwegian Sea,"Risebrobakken, Bj  rg; Jansen, Eystein; Andersson, Carin; Mjelde, Eirik; Hevr  y, Kjersti",2003,A high-resolution study of Holocene paleoclimatic and paleoceanographic changes in the Nordic Seas,Paleoceanography
271,MD98_2188,MD98_2188.Dang.2012.lpd,14.82,123.49,-730,Pacific Ocean>North Pacific Ocean,Pacific Ocean>North Pacific Ocean,"Dang, Haowen; Jian, Zhimin; Bassinot, Franck; Qiao, Peijun; Cheng, Xinrong",2012,Decoupled Holocene variability in surface and thermocline water temperatures of the Indo-Pacific Warm Pool,Geophysical Research Letters
272,MD99-2256,MD99-2256.Jennings.2015.lpd,64.3032,-24.2067,-246,NA,Atlantic Ocean>North Atlantic Ocean,"Jennings, Anne; Andrews, John; Pearce, Christof; Wilson, Lindsay;   lfasd _tttir, S _d _s",2015,"Detrital carbonate peaks on the Labrador shelf, a 13   7 ka template for freshwater forcing from the Hudson Strait outlet of the Laurentide Ice Sheet into the subpolar gyre",Quaternary Science Reviews
273,MD99-2269,MD99-2266.Moossen.2015.lpd,66.2295,-23.2655,-106,Arctic Ocean,Arctic Ocean,"Moossen, Heiko; Bendle, James; Seki, Osamu; Quillmann, Ursula; Kawamura, Kimitaka",2015,North Atlantic Holocene climate evolution recorded by high-resolution terrestrial and marine biomarker records,Quaternary Science Reviews
274,MD99-2284,MD99-2284.Risebrobakken.2009.lpd,62.3667,0.9667,-1500,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,Atlantic Ocean>North Atlantic Ocean>Norwegian Sea,"Eldevik, Tor; Risebrobakken, Bj  rg; Bjune, Anne E.; Andersson, Carin; Birks, H. John B.; Dokken, Trond M.; Drange, Helge; Glessmer, Mirjam S.; Li, Camille; Nilsen, Jan Even   .; Otter̴, Odd Helge; Richter, Kristin; Skagseth,   ystein",2014,A brief history of climate     the northern seas from the Last Glacial Maximum to global warming,Quaternary Science Reviews
275,Medvedevskoe,Medvedevskoe.Nazarova.2018.lpd,60.5309,29.8992,102.2,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Nazarova, L. B.; Subetto, D. A.; Syrykh, L. S.; Grekov, I. M.; Leontev, P. A.",2018,Reconstructions of paleoecological and paleoclimatic conditions of the Late Pleistocene and Holocene according to the results of chironomid analysis of sediments from Medvedevskoe Lake (Karelian Isthmus),Doklady Earth Sciences
276,Meerfelder Maar,MeerfelderMaar.Litt.2009.lpd,50.1,6.75,336.5,Europe>Western Europe>Germany,Europe>Western Europe>Germany,"Litt, Thomas; Sch̦lzel, Christian; K _hl, Norbert; Brauer, Achim",2009,Vegetation and climate history in the Westeifel Volcanic Field (Germany) during the past 11 000 years based on annually laminated lacustrine maar sediments,Boreas
277,Mendota,Mendota.Winkler.1986.lpd,43.1,-89.42,257,North America>United States Of America>Wisconsin,North America>United States Of America>Wisconsin,"Winkler, M. G.; Swain, A. M.; Kutzbach, J. E.",1986,Middle Holocene Dry Period in the northern midwestern United States: Lake levels and pollen stratigraphy,Quaternary Research
278,Menez-Cam,Menez-Cam.VanZeist.1964.lpd,48.25,-3.5,133,Europe>Western Europe>France,Europe>Western Europe>France,"Van Zeist, W.",1964,"A paleobotanical study of some bogs in western Brittany (Finistere), France",Palaeohistoria
279,Midden Cluster 1,MiddenCluster1.Harbert.2018.lpd,37.9049,-110.1304,1835,North America>United States Of America>Utah,North America>United States Of America>Utah,"Harbert, Robert S.; Nixon, Kevin C.",2018,Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America,Open Quaternary
280,Midden Cluster 2,MiddenCluster2.Harbert.2018.lpd,36.3806,-115.1879,1297,North America>United States Of America>Nevada,North America>United States Of America>Nevada,"Harbert, Robert S.; Nixon, Kevin C.",2018,Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America,Open Quaternary
281,Midden Cluster 3,MiddenCluster3.Harbert.2018.lpd,36.0589,-108.0819,1848,North America>United States Of America>New Mexico,North America>United States Of America>New Mexico,"Harbert, Robert S.; Nixon, Kevin C.",2018,Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America,Open Quaternary
282,Midden Cluster 4,MiddenCluster4.Harbert.2018.lpd,43.6488,-112.7451,1517,North America>United States Of America>Idaho,North America>United States Of America>Idaho,"Harbert, Robert S.; Nixon, Kevin C.",2018,Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America,Open Quaternary
283,Midden Cluster 5,MiddenCluster5.Harbert.2018.lpd,32.4659,-106.0203,1760,North America>United States Of America>New Mexico,North America>United States Of America>New Mexico,"Harbert, Robert S.; Nixon, Kevin C.",2018,Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America,Open Quaternary
284,Midden Cluster 6,MiddenCluster6.Harbert.2018.lpd,32.4659,-106.0203,1237,North America>United States Of America>New Mexico,North America>United States Of America>New Mexico,"Harbert, Robert S.; Nixon, Kevin C.",2018,Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America,Open Quaternary
285,Midden Cluster 7,MiddenCluster7.Harbert.2018.lpd,34.1548,-116.0048,573,North America>United States Of America>California,North America>United States Of America>California,"Harbert, Robert S.; Nixon, Kevin C.",2018,Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America,Open Quaternary
286,Midden Cluster 8,MiddenCluster8.Harbert.2018.lpd,32.3106,-109.0977,1339,North America>United States Of America>Arizona,North America>United States Of America>Arizona,"Harbert, Robert S.; Nixon, Kevin C.",2018,Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America,Open Quaternary
287,Midden Cluster 9,MiddenCluster9.Harbert.2018.lpd,31.6387,-115.5548,782,North America>Mexico,North America>Mexico,"Harbert, Robert S.; Nixon, Kevin C.",2018,Quantitative Late Quaternary climate reconstruction from plant macrofossil communities in western North America,Open Quaternary
288,Milandre Cave,MilandreCave.Affolter.2019.lpd,47.49,7.02,491,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Affolter, St̩phane; H _uselmann, Anamaria; Fleitmann, Dominik; Edwards, R. Lawrence; Cheng, Hai; Leuenberger, Markus",2019,"Central Europe temperature constrained by speleothem fluid inclusion water isotopes over the past 14,000 years",Science Advances
289,Minnetonka Cave,MinnetonkaCave.Lundeen.2013.lpd,42.088,-111.5187,2346.96,North America>United States Of America>Idaho,North America>United States Of America>Idaho,"Lundeen, Zachary; Brunelle, Andrea; Burns, Stephen J.; Polyak, Victor; Asmerom, Yemane",2013,"A speleothem record of Holocene paleoclimate from the northern Wasatch Mountains, southeast Idaho, USA",Quaternary International
290,Mire Saviku,MireSaviku.Sarv.1975.lpd,58.4,27.23,30,Europe>Northern Europe>Estonia,Europe>Northern Europe>Estonia,"Sarv, A.; Il'ves, E.O.",1975,Ueber das Alter der holozaenen Ablagerungen im Muendungsgebiet des Flusses Emajogi (Saviku).,Keemia Geol.
291,Mittlere Hellelen,MittlereHellelen.Welten.1982.lpd,46.28,7.84,1538,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"Welten, M.",1982,Vegetationsgeschichtliche Untersuchungen in den westlichen Schweizer Alpen: Bern-Wallis,Denkschriften der Schweizerischen Naturforschenden Gesellschaft
292,M Lake,MLake.Ritchie.1977.lpd,68.27,-133.47,105,North America>Canada>Northwest Territories,North America>Canada>Northwest Territories,"Ritchie, J. C.",1977,"The Modern and Late Quaternary vegetation of the Campbell-Dolomite Uplands, near Inuvik, N.W.T., Canada",Ecological Monographs
293,Moanatuatua,Moanatuatua.Jara.2017.lpd,-37.92,175.37,60,Australia/New Zealand>New Zealand,Australia/New Zealand>New Zealand,"Jara, Ignacio A.; Newnham, Rewi M.; Alloway, Brent V.; Wilmshurst, Janet M.; Rees, Andrew B.H.",2017,"Pollen-based temperature and precipitation records of the past 14,600 years in northern New Zealand (37°S) and their linkages with the Southern Hemisphere atmospheric circulation",The Holocene
294,Mohawk,Mohawk.Webb.1986.lpd,41.82,-73.29,360,North America>United States Of America>Connecticut,North America>United States Of America>Connecticut,"Gaudreau, D.C.",1986,Late-Quaternary vegetational history of the northeast: Paleoecological implications of topographic patterns in pollen distributions,NA
295,Monhegan Island Meadow,MonheganIslandMeadow.Bostwick.1978.lpd,43.77,-69.3,3,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Bostwick, L.G.",1978,An environmental framework for cultural change in Maine: Pollen influx and percentage diagrams from Monhegan Island,NA
296,Moon,Moon.Grimm.1996.lpd,46.86,-98.16,444,North America>United States Of America>North Dakota,North America>United States Of America>North Dakota,"Laird, Kathleen R.; Fritz, Sherilyn C.; Grimm, Eric C.; Mueller, Pietra G.",1996,"Century scale paleoclimatic reconstruction from Moon Lake, a closed-basin lake in the northern Great Plains",Limnology and Oceanography
297,Moor Alpenrose,MoorAlpenrose.Weirich.1980.lpd,47,11.76,1880,Europe>Western Europe>Austria,Europe>Western Europe>Austria,"Weirich, J.; Bortenschlager, S.",1980,Beitraege zur Vegetationsgeschichte Tirols III: Stubaier Alpen - Zillertaler Alpen,Ber. nat.-med. Verein Innsbruck
298,Moor im Weissenstadter Forst,MoorimWeissenstadterForst.Hahne.1992.lpd,50.14,11.88,725,Europe>Western Europe>Germany,Europe>Western Europe>Germany,"Hahne, J _rgen",1992,"Untersuchungen zur sp _t- und postglazialen Vegetationsgeschichte im nord̦stlichen Bayern (Bayerisches Vogtland, Fichtelgebirge, Steinwald)",Flora
299,Moose Lake,MooseLake.Clegg.2010.lpd,61.3742,-143.5988,437,North America>United States Of America>Alaska,North America>United States Of America>Alaska,"Clegg, Benjamin F.; Clarke, Gina H.; Chipman, Melissa L.; Chou, Michael; Walker, Ian R.; Tinner, Willy; Hu, Feng Sheng",2010,Six millennia of summer temperature variation based on midge analysis of lake sediments from Alaska,Quaternary Science Reviews
300,Moraine,Moraine.Hansen.1985.lpd,52.27,-58.05,385,North America>Canada>Newfoundland And Labrador,North America>Canada>Newfoundland And Labrador,"Engstrom, D. R.; Hansen, B. C. S.",1985,Postglacial vegetational change and soil development in southeastern Labrador as inferred from pollen and chemical stratigraphy,Canadian Journal of Botany
301,Mount Honey,MountHoney.McGlone.2010.lpd,-52.5,169.1625,120,Australia/New Zealand>New Zealand,Australia/New Zealand>New Zealand,"McGlone, Matt S.; Turney, Chris S. M.; Wilmshurst, Janet M.; Renwick, James; Pahnke, Katharina",2010,"Divergent trends in land and ocean temperature in the Southern Ocean over the past 18,000 years",Nature Geoscience
302,MSM055-712-2,MSM055_712-2.Werner.2015.lpd,78.9157,6.7672,-1389,Arctic Ocean,Arctic Ocean,"Werner, Kirstin; M _ller, Juliane; Husum, Katrine; Spielhagen, Robert F.; Kandiano, Evgenia S.; Polyak, Leonid",2016,Holocene sea subsurface and surface water masses in the Fram Strait     Comparisons of temperature and sea-ice reconstructions,Quaternary Science Reviews
303,MSM055-713-2,MSM055_723-2.Werner.2015.lpd,79.161,5.3378,-1351,Arctic Ocean,Arctic Ocean,"Werner, Kirstin; M _ller, Juliane; Husum, Katrine; Spielhagen, Robert F.; Kandiano, Evgenia S.; Polyak, Leonid",2016,Holocene sea subsurface and surface water masses in the Fram Strait     Comparisons of temperature and sea-ice reconstructions,Quaternary Science Reviews
304,MSM343300,MSM343300.Ouellet-Bernier.2014.lpd,68.4719,-54.002,-519,Atlantic Ocean>North Atlantic Ocean>Davis Strait,Atlantic Ocean>North Atlantic Ocean>Davis Strait,"Ouellet-Bernier, Marie-Mich̬le; de Vernal, Anne; Hillaire-Marcel, Claude; Moros, Matthias",2014,"Paleoceanographic changes in the Disko Bugt area, west Greenland, during the Holocene",The Holocene
305,Myrtle,Myrtle.Janssen.1968.lpd,47.98,-93.39,393,North America>United States Of America>Minnesota,North America>United States Of America>Minnesota,"Janssen, C. R.",1968,Myrtle Lake: A late- and post-glacial pollen diagram from northern Minnesota,Canadian Journal of Botany
306,Lake Nalengcuo,Nalengcuo.Opitz.2015.lpd,31.1,99.75,4200,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Opitz, Stephan; Zhang, Chengjun; Herzschuh, Ulrike; Mischke, Steffen",2015,Climate variability on the south-eastern Tibetan Plateau since the Lateglacial based on a multiproxy approach from Lake Naleng     comparing pollen and non-pollen signals,Quaternary Science Reviews
307,Nautajarvi,Nautajarvi.Seppa.2009.lpd,61.8,24.7,104,Europe>Northern Europe>Scandinavia>Finland,Europe>Northern Europe>Scandinavia>Finland,"Sepp _, H.; Bjune, A. E.; Telford, R. J.; Birks, H. J. B.; Veski, S.",2009,Last nine-thousand years of temperature variability in northern Europe,Climate of the Past
308,Nedlouc,Nedlouc.Larouche.1981.lpd,57.65,-71.65,330,North America>Canada>Quebec,North America>Canada>Quebec,"Richard, P.J.H.",1981,Paleophytogeographie postglaciaire en Ungava par l'analyse pollinique,NA
309,Nevado Huascaran Core 2,NevadoHuascaran.Thompson.1995.lpd,-9,-77.5,6048,South America>Peru,South America>Peru,"Thompson, L. G.; Mosley-Thompson, E.; Davis, M. E.; Lin, P. -N.; Henderson, K. A.; Cole-Dai, J.; Bolzan, J. F.; Liu, K. -b.",1995,"Late Glacial stage and Holocene tropical ice core records from Huascaran, Peru",Science
310,NGRIP,NGRIP.NGRIP.2004.lpd,75.1,-42.32,2917,North America>Greenland,North America>Greenland,North Greenland Ice Core Project members,2004,High-resolution record of Northern Hemisphere climate extending into the last interglacial period,Nature
311,Lake Nikolay,Nikolay.Andreev.2004.lpd,73.3259,124.1933,10,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Andreev, Andrei; Tarasov, Pavel; Schwamborn, Georg; Ilyashuk, Boris; Ilyashuk, Elena; Bobrov, Anatoly; Klimanov, Vladimir; Rachold, Volker; Hubberten, Hans-Wolfgang",2004,"Holocene paleoenvironmental records from Nikolay Lake, Lena River Delta, Arctic Russia","Palaeogeography, Palaeoclimatology, Palaeoecology"
312,Nikolay Lake,NikolayLake.Andreev.2004.lpd,73.33,124.2,10,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Andreev, Andrei; Tarasov, Pavel; Schwamborn, Georg; Ilyashuk, Boris; Ilyashuk, Elena; Bobrov, Anatoly; Klimanov, Vladimir; Rachold, Volker; Hubberten, Hans-Wolfgang",2004,"Holocene paleoenvironmental records from Nikolay Lake, Lena River Delta, Arctic Russia","Palaeogeography, Palaeoclimatology, Palaeoecology"
313,Njulla,Njulla.Larocque.2004.lpd,68.37,18.7,999,NA,Europe>Northern Europe>Scandinavia>Sweden,NA,NA,NA,NA
314,North Crater Lake,NorthCraterLake.Palmer.2002.lpd,49.07,-120.02,2120,North America>Canada>British Columbia,North America>Canada>British Columbia,"Palmer, Samantha; Walker, Ian; Heinrichs, Markus; Hebda, Richard; Scudder, Geoffrey",2002,"Postglacial midge community change and Holocene palaeotemperature reconstructions near treeline, southern British Columbia (Canada)",Journal of Paleolimnology
315,North GRIP,NorthGRIP.Gkinis.2014.lpd,75.1,-42.32,2925,North America>Greenland,North America>Greenland,"Gkinis, V.; Simonsen, S.B.; Buchardt, S.L.; White, J.W.C.; Vinther, B.M.",2014,"Water isotope diffusion rates from the NorthGRIP ice core for the last 16,000 years     Glaciological and paleoclimatic implications",Earth and Planetary Science Letters
316,North Pond,NorthPond.Whitehead.1978.lpd,42.65,-73.05,586,North America>United States Of America>Massachusetts,North America>United States Of America>Massachusetts,"Whitehead, D.R.; Crisman, Thomas L.",1978,Paleolimnological studies of small New England (USA) ponds. Part I. Late-glacial and postglacial trophic oscillations,Polskie Archiwum Hydrobiologii
317,Nussbaumer Seen,NussbaumerSeen.Rsch.1995.lpd,47.62,8.82,444,Europe>Western Europe>Switzerland,Europe>Western Europe>Switzerland,"R̦sch, Manfred",1995,Geschichte des Nussbaumer Sees aus botanisch-̦kologischer Sicht,NA
318,Nutt Lake,Nutt.Bennett.1987.lpd,45.22,-79.45,305,North America>Canada>Ontario,North America>Canada>Ontario,"Bennett, K. D.",1987,Holocene history of forest trees in southern Ontario,Canadian Journal of Botany
319,ODP658C,ODP658C_UK37.Zhao.1995.lpd,20.75,-18.58,-2263,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"Zhao, M.",1995,Molecular stratigraphy of cores off northwest Africa: Sea surface temperature history over the last 80 Ka,Paleoceanography
320,ODP658C,ODP658C.deMenocal.1997.lpd,20.8,-18.6,-2263,Atlantic Ocean>North Atlantic Ocean,Atlantic Ocean>North Atlantic Ocean,"deMenocal, P.",2000,Coherent high- and low-latitude climate variability during the Holocene Warm Period,Science
321,Olive-backed Lake,Olive-backedLake.Self.2015.lpd,56.2012,158.8582,693,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Self, A.E.; Klimaschewski, A.; Solovieva, N.; Jones, V.J.; Andr̩n, E.; Andreev, A.A.; Hammarlund, D.; Brooks, S.J.",2015,The relative influences of climate and volcanic activity on Holocene lake development inferred from a mountain lake in central Kamchatka,Global and Planetary Change
322,Oltush Lake,OltushLake.EPD.lpd,51.7,23.96,158,Europe>Eastern Europe>Belarus,Europe>Eastern Europe>Belarus,NA,NA,NA,NA
323,OregonCaves,OregonCaves.Ersek.2012.lpd,42.083,-123.416,1390,North America>United States Of America>Oregon,North America>United States Of America>Oregon,"Ersek, Vasile; Clark, Peter U.; Mix, Alan C.; Cheng, Hai; Lawrence Edwards, R.",2012,Holocene winter climate variability in mid-latitude western North America,Nature Communications
324,Ospitale,Ospitale.Watson.1996.lpd,44.16,10.78,1225,Europe>Southern Europe>Italy,Europe>Southern Europe>Italy,"Watson, Clare S.",1996,"The vegetational history of the northern Apennines, Italy: Information from three new sequences and a review of regional vegetational change",Journal of Biogeography
325,Ostrowite,Ostrowite.Milecka.2002.lpd,53.79,17.6,121,Europe>Eastern Europe>Poland,Europe>Eastern Europe>Poland,"Milecka, K.; Szeroczynska, K.",2002,Tymczasowa informacja o paleoekologii i paleolimnologii Jeziora Ostrowite na podstawie glebokowodnego rdzenia (z SW czesci zbionika),"Park Narodowy ""Bory Tucholskie"". (National Park ""Bory Tucholskie"")"
326,Pannel Bridge,PannelBridge.Waller.1993.lpd,50.91,0.68,3,Europe>Northern Europe>British Isles>United Kingdom,Europe>Northern Europe>British Isles>United Kingdom,"Waller, M. P.",1993,"Flandrian vegetational history of southeastern England. Pollen data from Pannel Bridge, East Sussex",New Phytologist
327,Park Pond 1,ParkPond1.Lynch.1998.lpd,43.47,-109.96,2705,North America>United States Of America>Wyoming,North America>United States Of America>Wyoming,"Lynch, Elizabeth A.",1998,"Origin of a park-forest vegetation mosaic in the Wind River Range, Wyoming",Ecology
328,Path Lake,PathLake.Neil.2014.lpd,43.87,-64.93,15,North America>Canada>Nova Scotia,North America>Canada>Nova Scotia,"Neil, Karen; Gajewski, Konrad; Betts, Matthew",2014,"Human-ecosystem interactions in relation to Holocene environmental change in Port Joli Harbour, southwestern Nova Scotia, Canada",Quaternary Research
329,Peatland Klukva,PeatlandKlukva.Novenko.2015.lpd,53.83,36.25,252,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Novenko, Elena Yu.; Tsyganov, Andrey N.; Volkova, Elena M.; Babeshko, Kirill V.; Lavrentiev, Nikita V.; Payne, Richard J.; Mazei, Yuri A.",2015,"The Holocene paleoenvironmental history of central European Russia reconstructed from pollen, plant macrofossil, and testate amoeba analyses of the Klukva Peatland, Tula Region",Quaternary Research
330,Pechora Lake,PechoraLake.Andren.2015.lpd,59.2933,163.13,45,Europe>Eastern Europe>Russian Federation,Europe>Eastern Europe>Russian Federation,"Andr̩n, Elinor; Klimaschewski, Andrea; Self, Angela E.; St. Amour, Natalie; Andreev, Andrei A.; Bennett, Keith D.; Conley, Daniel J.; Edwards, Thomas W.D.; Solovieva, Nadia; Hammarlund, Dan",2015,"Holocene climate and environmental change in north-eastern Kamchatka (Russian far east), inferred from a multi-proxy study of lake sediments",Global and Planetary Change
331,Pella,Pella.Lim.2016.lpd,-29.0011,19.135,490,Africa>Southern Africa>South Africa,Africa>Southern Africa>South Africa,"Lim, Sophak; Chase, Brian M.; Chevalier, Manuel; Reimer, Paula J.",2016,"50,000 years of vegetation and climate change in the southern Namib Desert, Pella, South Africa","Palaeogeography, Palaeoclimatology, Palaeoecology"
332,Penny,Penny.Fisher.1998.lpd,67.25,-66.75,1900,North America>Canada>Nunavut,North America>Canada>Nunavut,"Fisher, David A.; Koerner, Roy M.; Bourgeois, Jocelyne C.; Zielinski, Greg; Wake, Cameron; Hammer, Claus U.; Clausen, H. B.; Gundestrup, N.; Johnsen, Sigfus; Goto-Azuma, Kumiko; Hondoh, Takeo; Blake, Erik; Gerasimoff, Mike",1998,"Penny Ice Cap cores, Baffin Island, Canada, and the Wisconsinan Foxe Dome connection: Two states of Hudson Bay ice cover",Science
333,Perch Lake Manitoba,PerchLake_Manitoba.Ritchie.NA.lpd,51.65,-100.9,701,North America>Canada>Manitoba,North America>Canada>Manitoba,NA,NA,NA,NA
334,Perch Lake ON,PerchLake_ON.Terasmae.1975.lpd,46.03,-77.34,160,North America>Canada>Ontario,North America>Canada>Ontario,"Boyko-Diakonow, M.; Terasmae, J.; Barry, P.J.",1975,"Palynology of Holocene sediments in Perch Lake, Chalk River, Ontario",NA
335,Pingwang,Pingwang.Li.2018.lpd,30.96,120.64,1.6,Asia>Eastern Asia>China,Asia>Eastern Asia>China,"Li, Jianyong; Dodson, John; Yan, Hong; Wang, Weiming; Innes, James B.; Zong, Yongqiang; Zhang, Xiaojian; Xu, Qinghai; Ni, Jian; Lu, Fengyan",2018,Quantitative Holocene climatic reconstructions for the lower Yangtze region of China,Climate Dynamics
336,Pixie,Pixie.Brown.2002.lpd,48.6,-124.2,70,North America>Canada>British Columbia,North America>Canada>British Columbia,"Brown, K J; Hebda, R J",2002,"Origin, development, and dynamics of coastal temperate conifer rainforests of southern Vancouver Island, Canada",Canadian Journal of Forest Research
337,Plateau Remote,PlateauRemote.MosleyThompson.1996.lpd,-84,43,3330,Antarctica,Antarctica,"Mosley-Thompson, Ellen",1996,Holocene climate changes recorded in an East Antarctica ice core,Climatic Variations and Forcing Mechanisms of the Last 2000 Years
338,Platypus Tarn,PlatypusTarn.Rees.2010.lpd,-42.6734,146.5868,941,Australia/New Zealand>Australia,Australia/New Zealand>Australia,"Rees, Andrew B.H.; Cwynar, Les C.",2010,"Evidence for early postglacial warming in Mount Field National Park, Tasmania",Quaternary Science Reviews
339,Pogonia Bog,PogoniaBog.Cushing.1979.lpd,45.04,-93.63,292,North America>United States Of America>Minnesota,North America>United States Of America>Minnesota,"Swain, P.C.",1979,The development of some bogs in eastern Minnesota,NA
