,time,new_zealand,greenland,n_atlantic,s_atlantic,indonesia,japan,oregon,alaska,china,congo,mediterranean,antarctica,arabean_sea,gulf_of_mexico,e_pacific,s_australia,philippines,s_america,iceland,scandinavia,w_africa
99,9900,0.113569696,-2.226041977,-0.351345262,0.08067074,0.352669708,0.04604725,-0.760949531,0.441283493,0.387381972,-0.332991091,-0.056778514,0.047858355,0.479921626,-0.234497606,-0.082341149,0.104303613,0.174726886,0.014056724,0.723937683,0.175572931,-0.179197088
100,10000,0.14001737,-1.835656977,-0.151067071,-0.051346131,0.342222721,-0.078445722,-0.797447486,0.709608673,0.300346545,-0.296243028,-0.081465977,-0.00805377,0.429947578,-0.27462117,-0.073693469,0.094385897,0.187688894,0.016547483,0.595089159,0.029921405,-0.340067965
101,10100,0.182749716,-2.046523429,-0.158819397,0.525281374,0.187200205,0.114513125,-0.539087686,0.38246214,0.337464118,-0.298988297,-0.139722526,-0.091135962,0.457100979,-0.308125406,0.094300633,0.085068411,0.008083161,0.050710284,0.599216273,0.125170018,-0.161693197
102,10200,0.0810986,-0.34077145,0.483737662,0.063013483,0.12005003,-0.017859527,-0.085571991,0.999617202,0.331261691,-0.396579565,-0.113896475,-0.513229215,0.622994493,-0.176278478,-0.036314691,-0.126790081,-0.051796972,0.003845488,0.461191311,0.013041305,-0.159549475
103,10300,0.051170689,-1.571324441,0.044503056,-0.151488677,-0.102966187,0.019651793,-0.426079773,-0.331734798,0.111204264,-0.254179621,-0.128151111,-0.080656108,0.524255912,-0.124983115,-0.025407216,-0.157960574,0.045413091,-0.058688479,0.057348081,-0.016661658,-0.043265215
104,10400,0.044681448,-0.633221464,0.187708475,-0.516379872,0.067670923,0.040826287,-0.259558495,0.037700838,-0.004819163,-0.128295362,-0.294958031,-0.449909778,0.385154955,0.083703924,0.005451824,-0.212386064,-0.166625164,-0.096792254,0.216980228,-0.025061723,-0.079797854
105,10500,0.157496922,-0.45587148,0.067266991,-0.207108803,0.052346502,0.387988527,-0.169631009,0.719683305,0.221785497,-0.00279663,0.080312192,-0.318578863,-0.62659889,0.077220305,-0.032340035,-0.277753918,0.102816472,0.132131652,-0.02293335,0.032475018,-0.257512651
106,10600,0.057773236,-0.100329965,0.3156725,-0.143301975,-0.069093381,0.39447981,-0.034144503,-0.036697016,0.307234157,0.072837097,0.566750057,-0.667183152,-1.437767507,0.068725099,-0.161389274,-0.34916124,0.016838677,0.027416153,0.314667741,0.252914067,-0.130532473
107,10700,0.019024673,0.391116533,0.048101416,0.065943127,-0.044210185,0.403185477,-0.054523674,0.113170215,0.416687831,-1.559120603,0.584153927,-0.482921544,-1.61601348,-0.021267982,0.061371931,-0.347085062,0.007896085,-0.180607943,0.080801176,0.502353158,0.030723094
108,10800,-0.175520866,1.539746988,0.486700876,-0.35832548,-0.044537052,0.688107744,0.14756149,-0.016714958,0.539055476,-3.208431613,0.7114822,-0.542884718,-1.184927682,-0.097437515,0.261347474,-0.452323899,0.130256129,-0.08102797,-0.383829285,0.996105758,0.031155185
109,10900,-0.413264139,2.699095024,0.197159079,-0.077786175,-0.088640475,0.47069637,0.494473489,0.487593607,0.613329151,-1.062763001,0.7333237,-0.460984797,-0.199457804,-0.049366363,-0.406663381,-0.432302236,-0.048561441,-0.13087605,-0.257777247,1.391361315,0.223331697
110,11000,-0.069525264,1.2961185,0.115244319,0.015741118,-0.107091883,0.698201515,0.599562295,0.566255805,0.736749826,0.156554246,1.309196983,-0.665803549,0.011351889,-0.133678722,-0.10624919,-0.424647962,-0.023677853,-0.122099838,-0.512989984,0.679401564,0.024855764
111,11100,-0.10992076,2.555556095,0.572501483,-0.507659796,-0.038163414,0.744875584,0.002664622,0.171237469,0.457648816,-0.483992659,1.667478023,-0.867562346,0.084213757,0.003128383,0.176453345,-0.280104981,0.086092812,-0.181612232,-0.603401008,1.207339654,0.034330127
112,11200,-0.243851895,2.464568047,0.119615131,0.205840598,0.01141113,0.537365128,-0.557909035,0.220526482,0.229373836,-0.984865085,1.629962384,-0.755800047,-0.192355102,-0.0242957,-0.077966937,-0.258720001,0.018936824,-0.281059322,-0.366391258,0.819626486,0.030841667
